date,test_num,time
2013-11-22,1,833374.840268
2013-11-22,8,873178.499804
2013-11-22,6,883030.669793
2013-11-22,4,817659.495291
2013-11-22,9,842446.373119
2013-11-22,7,861810.456469
2013-11-22,2,831350.177516
2013-11-22,3,860517.112834
2013-11-22,5,868795.923757
2013-11-23,5,696431.417605
2013-11-23,1,698336.18582
2013-11-23,4,651964.188062
2013-11-23,7,653789.972602
2013-11-23,9,713978.719234
2013-11-23,8,685663.572996
2013-11-23,2,686191.35994
2013-11-23,3,673824.279599
2013-11-23,10,696724.404771
2013-11-23,6,702871.818051
2013-11-24,7,713760.065173
2013-11-24,9,683434.973611
2013-11-24,8,678609.715509
2013-11-24,10,697394.781257
2013-11-24,1,715016.705287
2013-11-24,6,685492.107751
2013-11-24,2,711814.963762
2013-11-24,5,709465.264073
2013-11-24,4,722391.452009
2013-11-24,3,698937.468669
2013-11-25,7,853220.20202
2013-11-25,6,870182.760395
2013-11-25,2,855995.7723
2013-11-25,3,808510.647782
2013-11-25,10,863516.411565
2013-11-25,5,561094.804527
2013-11-25,4,861404.099526
2013-11-25,9,842416.948305
2013-11-25,1,865275.497479
2013-11-25,8,836025.719505
2013-11-26,8,865322.954137
2013-11-26,4,876940.208127
2013-11-26,1,886184.749434
2013-11-26,10,854496.663052
2013-11-26,7,849831.311256
2013-11-26,2,868320.559147
2013-11-26,5,855824.49377
2013-11-26,9,790645.657886
2013-11-26,6,833690.270803
2013-11-26,3,819504.70689
2013-11-27,9,859187.822169
2013-11-27,7,860902.900764
2013-11-27,6,831967.571643
2013-11-27,1,815806.770841
2013-11-27,2,865923.808823
2013-11-27,3,847405.755199
2013-11-27,5,803607.757922
2013-11-27,8,868351.146979
2013-11-27,4,823941.620202
2013-11-27,10,862789.86029
2013-11-28,2,848625.601965
2013-11-28,3,837838.462721
2013-11-28,10,578434.688947
2013-11-28,6,853209.640608
2013-11-28,9,832513.929821
2013-11-28,5,864730.793356
2013-11-28,4,837360.226949
2013-11-28,1,853531.516057
2013-11-28,8,587501.30484
2013-11-28,7,821059.858829
2013-11-29,6,863441.07311
2013-11-29,9,582563.4762
2013-11-29,1,851928.532463
2013-11-29,3,854957.114665
2013-11-29,2,841907.656512
2013-11-29,5,829746.793758
2013-11-29,8,827061.503966
2013-11-29,7,874766.057822
2013-11-29,10,850555.073728
2013-11-29,4,827186.960866
2013-11-30,1,735586.57992
2013-11-30,7,728550.251493
2013-11-30,10,741714.685896
2013-11-30,9,741568.58436
2013-11-30,8,754110.561284
2013-11-30,4,730127.604011
2013-11-30,3,771084.87973
2013-11-30,6,770702.178272
2013-11-30,5,716098.712149
2013-11-30,2,753750.070649
